Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28,33.04
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28,20.87
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
194.7,0.0,100.5,170.2,7.5,998.0,901.8,100,44.28
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
149.0,236.0,0.0,176.0,13.0,847.0,893.0,28,32.96
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28,29.16
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,27.74
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38
166.0,259.7,0.0,183.2,12.7,858.8,826.8,28,37.92
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.57
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,43.89
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.63
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28,51.33
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.3
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.33
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,74.99
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28,33.61
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14,26.05
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28,12.25
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3,24.4
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,15.58
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,69.66
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56,51.96
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,42.42
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28,23.84
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,39.3
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3,15.34
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.27
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3,14.4
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.73
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100,46.23
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28,39.7
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360,42.13
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28,44.52
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,10.22
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365,29.79
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28,37.91
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.99
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26
288.0,192.0,0.0,192.0,0.0,932.0,717.8,90,50.53
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28,23.74
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,18.28
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28,38.46
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.7
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,44.09
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28,32.05
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
284.0,15.0,141.0,179.0,5.5,842.0,801.0,3,13.4
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14,33.73
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28,15.34
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28,19.01
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,27.92
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28,18.2
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28,19.99
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,15.87
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.16
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,62.94
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3,21.91
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,17.24
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360,38.11
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.56
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,68.75
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180,26.74
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7,14.54
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.9
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28,36.44
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28,59.0
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,24.39
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28,41.05
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28,29.41
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.69
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28,43.73
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2
